"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2024","5,234.18","5,097.18","5,261.76","5,056.54","","2.71%"
"02/01/2024","5,096.27","4,861.83","5,111.09","4,852.95","","5.10%"
"01/01/2024","4,848.87","4,737.75","4,931.41","4,682.37","","1.66%"
"12/01/2023","4,769.83","4,560.14","4,793.35","4,546.31","","4.42%"
"11/01/2023","4,567.78","4,203.62","4,588.00","4,196.92","","8.92%"
"10/01/2023","4,193.80","4,280.50","4,393.73","4,103.49","","-2.20%"
"09/01/2023","4,288.05","4,534.42","4,540.16","4,238.53","","-4.87%"
"08/01/2023","4,507.66","4,576.21","4,584.24","4,337.77","","-1.77%"
"07/01/2023","4,588.96","4,444.17","4,606.00","4,385.18","","3.11%"
"06/01/2023","4,450.38","4,183.84","4,458.43","4,171.00","","6.47%"
"05/01/2023","4,179.83","4,166.27","4,229.98","4,048.00","","0.25%"
"04/01/2023","4,169.48","4,102.50","4,170.52","4,049.30","","1.46%"
"03/01/2023","4,109.31","3,958.20","4,110.80","3,810.54","","3.51%"
"02/01/2023","3,970.15","4,063.85","4,195.34","3,942.86","","-2.61%"
"01/01/2023","4,076.60","3,858.38","4,094.32","3,793.67","","6.18%"
"12/01/2022","3,839.50","4,089.50","4,103.05","3,764.14","","-5.90%"
"11/01/2022","4,080.11","3,911.50","4,080.11","3,695.60","","5.38%"
"10/01/2022","3,871.98","3,624.07","3,906.05","3,490.00","","7.99%"
"09/01/2022","3,585.62","3,929.90","4,119.69","3,585.40","","-9.34%"
"08/01/2022","3,955.00","4,103.38","4,325.50","3,954.90","","-4.24%"
"07/01/2022","4,130.29","3,779.27","4,140.00","3,720.25","","9.11%"
"06/01/2022","3,785.38","4,156.10","4,177.60","3,636.82","","-8.39%"
"05/01/2022","4,132.15","4,132.70","4,307.90","3,810.50","","0.01%"
"04/01/2022","4,131.93","4,547.90","4,593.90","4,123.87","","-8.80%"
"03/01/2022","4,530.41","4,358.08","4,637.90","4,157.20","","3.58%"
"02/01/2022","4,373.79","4,521.35","4,595.10","4,114.50","","-3.14%"
"01/01/2022","4,515.55","4,781.00","4,817.88","4,221.54","","-5.26%"
"12/01/2021","4,766.18","4,623.80","4,808.52","4,494.20","","4.36%"
"11/01/2021","4,567.00","4,616.47","4,743.74","4,560.26","","-0.83%"
"10/01/2021","4,605.38","4,324.71","4,608.70","4,278.70","","6.91%"
"09/01/2021","4,307.54","4,531.04","4,544.58","4,304.90","","-4.76%"
"08/01/2021","4,522.68","4,415.90","4,537.80","4,369.20","","2.90%"
"07/01/2021","4,395.26","4,304.10","4,430.20","4,232.80","","2.27%"
"06/01/2021","4,297.50","4,216.52","4,302.43","4,164.40","","2.22%"
"05/01/2021","4,204.11","4,191.98","4,238.04","4,056.88","","0.55%"
"04/01/2021","4,181.17","3,992.78","4,218.78","3,992.78","","5.24%"
"03/01/2021","3,972.89","3,842.51","3,994.41","3,723.34","","4.24%"
"02/01/2021","3,811.15","3,731.17","3,950.43","3,725.62","","2.61%"
"01/01/2021","3,714.24","3,764.61","3,870.90","3,662.71","","-1.11%"
"12/01/2020","3,756.07","3,645.87","3,760.20","3,633.40","","3.71%"
"11/01/2020","3,621.63","3,296.20","3,645.99","3,279.74","","10.75%"
"10/01/2020","3,269.96","3,385.87","3,549.85","3,233.94","","-2.77%"
"09/01/2020","3,363.00","3,507.44","3,588.11","3,209.45","","-3.92%"
"08/01/2020","3,500.31","3,288.26","3,514.77","3,284.53","","7.01%"
"07/01/2020","3,271.12","3,105.92","3,279.99","3,101.17","","5.51%"
"06/01/2020","3,100.29","3,038.78","3,233.13","2,965.66","","1.84%"
"05/01/2020","3,044.31","2,869.09","3,068.67","2,766.64","","4.53%"
"04/01/2020","2,912.43","2,498.08","2,954.86","2,447.49","","12.68%"
